KidneyDisease,HighBP,HighChol,CholCheck,Asthma,COPD,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,AgeGroup,Education,Income
0.2440964121879468,0.5765569010310515,0.7661341845622024,-0.0004020277918378136,-0.030880411298589847,-0.09705791702924278,0.014794889478410019,0.012173091561003869,0.02642035004671406,0.01888371454498363,0.0008639099963156422,0.02285613166867938,0.025003404592587052,0.028779628522093252,0.011163192934917444,0.01797722615177755,-5.25792336251785e-05,-0.002194858655631301,0.021149983790620386,0.06332915505462694,-0.016239607724177874,-0.045726982093659704
-0.09745381913657818,0.8088709693149881,-0.566800950066734,-0.09050051823836366,0.013085127374144882,0.023299398112483823,-0.0032928854141323735,-0.011571322432497472,-0.03822543319385111,-0.025486773919702412,-0.005362243024463191,0.0037446061290265426,-0.01310987613667195,-0.006415764514504885,-0.007540528309293371,-0.019182029791926264,0.008184571366065888,-0.005179806165943714,0.0160374061905054,-0.042439273564523525,-0.019107811887538545,0.024686716710071444
0.7003177133929206,-0.056647001137654515,-0.2881503468604841,0.1675818967640557,-0.20634153128738428,-0.5092111135577481,0.060943156571343624,0.031238998834256633,0.17846854389843572,0.11167061047803824,0.004539560456121886,0.019996633744827352,0.05615127153865622,0.10933616098509415,0.027659498501986245,0.06189414636760398,-0.009065920682792257,-0.012381223051778058,0.023268622304491237,0.09719517933391668,-0.00857015926833281,-0.11801184297161499
0.557087164712416,0.002196992610712628,-0.07275366320181646,0.00841766022641585,0.22571520922260224,0.7643959039859193,0.0569650238807499,0.014680545888966244,0.09843636024272712,0.10507655167123654,0.014759757336440148,0.010397776698541446,-0.005384592850105508,-0.023615531615423308,0.0018055630455965969,0.02944798616686058,0.008301778228050415,0.03252478988599068,-0.03311913335948934,-0.014458924138778119,0.1365787148834092,0.04444960268083732
-0.3104946577840534,0.08529261373425909,0.005717456416856088,0.6577770037031452,0.07951859759495208,0.06817336312360582,-0.003257571388176822,0.039602433546415856,0.43638026897603543,0.44529491329812604,0.038357121375282036,-0.03760049926235043,0.043048199789336654,0.1694354329879079,0.03655413615295707,0.0999501380380172,0.0029105402841021837,0.05327189849859433,-0.07252175273031979,0.07500071463006627,0.051198826723614976,-0.03499815040036219
-0.08132549819364597,0.005509160134672314,0.015763418278554577,-0.1762397964475294,-0.2698427130029042,0.017740617100160058,0.026810962645905854,-0.016159649737857353,0.04840112495996291,-0.07187861798870898,-0.03576686583746101,-0.06856583543530613,0.02525265669168141,0.4850653673203068,0.002350075193501996,0.04333873720599182,0.030997093593208846,-0.03710194384265028,0.024036837968363332,-0.04345768623020369,0.7946162747521821,0.020462611614039682
0.030165399091866375,-0.011088756709018648,-0.013836749738612297,0.17149213920387493,-0.05221911974639838,0.17173725474997759,-0.09502304390291884,-0.008953281408021258,-0.28524442280983314,-0.22655215626219896,-0.004986096996906976,0.03649713797126667,0.10180518699405934,0.7597969622244463,0.0010174277930884948,-0.013519306647363165,0.06434075503080447,0.015001465799112481,-0.011608014894746433,0.04458021862160765,-0.4406925732980268,-0.07384081159384925
-0.03859347168510102,-0.03897237800685337,0.014560276592488916,-0.4851729836586562,-0.13154905974029002,0.009586186150078014,0.07192772956036729,-0.021968799769349512,-0.059947629200460976,0.7818925301498058,0.008600568221029744,0.12647817034345687,0.014322692243230156,0.2021093373262234,-0.0192145410047479,-0.03506088574591069,0.031295525548361264,-0.0293103331209942,0.06718254729072054,-0.09754998558833917,-0.20743034508370903,0.0759349402085496
-0.11289204456851659,-0.007404042551984624,-0.00012982667092135944,-0.20779371107889744,-0.5192359075296797,0.2509489768218042,0.19107708810760762,0.007059859133066292,0.5331384825644568,-0.21316581809284704,0.006099513554619828,0.07593708684211752,-0.0014206464204945535,-0.06697192641184001,-0.0031236805879885634,-0.03413878900533423,0.020645068349403738,-0.021050250043294676,0.010528200267942588,0.07989990320056282,-0.235034846035056,-0.41368192953953625
-0.007246700437659677,-0.024071879880143213,0.011888751971343809,-0.27169527858469794,0.45934188913824614,-0.1719800174815414,0.06929687030421255,0.008259706364864302,0.5767348994421458,-0.23518046892749608,0.009091973793067008,0.20648572040162633,0.025373701469609804,0.24945384741552892,-0.0006759422713687397,-0.013607961708157526,0.0455416132096446,0.009758882419716864,0.04680957560819147,-0.07122941077692975,-0.11100630807842636,0.4055870465823944
0.06429674307059666,0.015546607062674907,0.029245956110815537,0.15613715256406957,-0.5335601562724084,0.09874056593202167,-0.10452666102200663,-0.017259734510395624,0.07577239999944857,-0.051944052698076386,0.002502195390638782,-0.23143838427664426,-0.074480859838152,-0.07910568635931835,-0.011877636981492704,-0.019974648873786048,0.006276194074074272,-0.015035129184880112,-0.005634284203807403,-0.19291727112846319,-0.14718384308805943,0.7288333729644225
-0.03680961057880682,0.0020909243229640384,-0.013757183078282017,0.1513266799022533,-0.19263990146307,0.056100358885349796,0.01530913390806242,0.02318927531198215,-0.14086678018418824,-0.03545867141242978,0.0070641380332613435,0.8819085259711535,0.2240690542259349,-0.11507516178616319,0.031053005293406884,0.08267423942714647,-0.034563668650838056,0.018916964346855466,-0.010179961234312414,0.12677784717333868,0.10831430853439862,0.18681421224610317
-0.06381055228196991,-0.0047251455291209,-0.03619700480792268,-0.14580451425247057,-0.000914327554844976,0.039059786584221684,0.1715898380218909,0.08107027741034556,-0.05696421454251482,0.013227137789912646,0.010380648436048754,-0.21758962329542952,0.09538885036419503,-0.007101660283716938,0.08856895586454863,0.21823504272443536,-0.03514655543259283,0.013899894276302917,0.03346585132940747,0.8716214363001595,-0.025436258497032873,0.23954544114032444
-0.0017067038230700962,0.005954003278416178,0.008100696101688324,0.15873984918895193,0.014058524744670247,-0.02963891314029211,0.6544775145717375,-0.11562996581983759,-0.10237510142868257,0.0038884842727402876,0.020928407052627992,0.04122926407998674,-0.22061404925024067,0.06083850113690975,-0.14603074244600373,-0.6436452924865951,-0.043574306505516976,0.036928005982345816,-0.0976208920363271,0.0913039542232723,0.04133025450264295,0.09199929296882513
