mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.0441899299621582,0.011553133559827919,0.02117147445678711,0.003359342503236714,1,{'pca__n_components': 1},0.5654860325472109,0.5629242819843342,0.5631853785900783,0.5610095735422106,0.566579634464752,0.5638369802257172,0.001974505363844219,22,0.6171161605436398,0.6129711518214361,0.6124581939799331,0.6115948184327883,0.6153527829505483,0.6138986215456692,0.002035174834716812,22,0.47670603674540685,0.47760459392945037,0.4807219031993437,0.4725184577522559,0.487940935192781,0.4790983853638475,0.005139585387456153,22,0.5378991207774179,0.5368867576540022,0.5386524496736832,0.533135875601629,0.544289897510981,0.5381728202435426,0.0035985652250235265,22,0.6262289466770778,0.6194180951736523,0.6247020263802734,0.6222952464873059,0.6299619326678837,0.6245212494772386,0.0035650306240866455,22
0.04355697631835938,0.002464147693846009,0.021599769592285156,0.002674246625493909,2,{'pca__n_components': 2},0.6168305630493429,0.6121845082680591,0.6201044386422977,0.6154917319408181,0.6287206266318538,0.6186663737064744,0.005632391380540841,21,0.7009257061476383,0.6867167919799498,0.7005099675475197,0.6945024356297843,0.7108600415033434,0.698702988561647,0.007966343404324693,21,0.48441601049868765,0.4945036915504512,0.4958162428219852,0.4912223133716161,0.5058244462674323,0.4943565409020345,0.00696136140981708,21,0.5728974682316422,0.5749713849675696,0.5806513594005188,0.5754372477416875,0.5910659509202454,0.5790046822523328,0.00654947152951242,21,0.7061749876550417,0.7036015026218333,0.7065737196276747,0.7061625589883987,0.7154206679687768,0.707586687372345,0.004057094795010805,21
0.045665740966796875,0.0042793420663047475,0.026329708099365235,0.003135586705838996,3,{'pca__n_components': 3},0.696022974501784,0.7008703220191471,0.700609225413403,0.6991296779808529,0.7013054830287206,0.6995875365887815,0.0019264715861973592,20,0.6998311070167358,0.7022831050228311,0.7006802721088435,0.6983458646616542,0.7004365497516183,0.7003153797123366,0.0012754043371086578,20,0.7477034120734908,0.75701394585726,0.760459392945037,0.7619360131255127,0.7634126333059885,0.7581050794614578,0.005617370016690214,19,0.7229756523118408,0.7286221871298855,0.7293469708890638,0.7287563750490388,0.7305699481865285,0.7280542267132715,0.002630876329521387,19,0.7576566563041992,0.7638518635658302,0.7619687964960111,0.7613373668840822,0.7627705901538888,0.7615170546808023,0.0021053131695721538,20
0.050531005859375,0.005237180644913571,0.027354335784912108,0.005608068181875911,4,{'pca__n_components': 4},0.6955008267339657,0.7039164490861619,0.7036553524804178,0.7001740644038295,0.7019147084421236,0.7010322802292996,0.0030760731380900844,19,0.701161890007746,0.708082212950085,0.704967997561719,0.7007575757575758,0.7036924015868172,0.7037324155727885,0.0026797863646451443,19,0.7424540682414699,0.7517637407711238,0.7589827727645612,0.7588187038556193,0.7566858080393766,0.7537410187344301,0.00621667974287852,20,0.7212174328738746,0.7292694572656374,0.7309789049537805,0.7286333202048051,0.7292276069254486,0.7278653444447093,0.0034148518546403906,20,0.7597602250309535,0.7655640495977728,0.7649383068970526,0.7637264169950452,0.7649345054858165,0.7637847008013281,0.0020985110056599755,19
0.05330705642700195,0.005202651564421471,0.024903154373168944,0.004603132688358501,5,{'pca__n_components': 5},0.7139500478635454,0.7184508268059182,0.718798955613577,0.7143603133159269,0.7194952132288946,0.7170110713655725,0.0023595240929941965,18,0.7215649156018299,0.7218430034129693,0.721671826625387,0.7190468774334215,0.7217418159357628,0.7211736878018741,0.001067265364010082,18,0.7503280839895013,0.7634126333059885,0.7648892534864643,0.7575061525840853,0.7668580803937654,0.760598840751961,0.0060092647710074006,18,0.735665460394049,0.7420460888286421,0.7426523297491039,0.7377756471716204,0.7436162596452152,0.740351157157726,0.003079548303496928,18,0.7759357691213066,0.7813535000733672,0.7800352618906243,0.7825052364439775,0.7860789583524987,0.7811817451763549,0.0033044973738018887,18
0.05627808570861816,0.0028092669319048718,0.021921348571777344,0.002804346232174783,6,{'pca__n_components': 6},0.7142111217474545,0.7202785030461271,0.7219321148825065,0.7186248912097476,0.7238468233246301,0.7197786908420931,0.0032792019897462934,17,0.7219065656565656,0.724762053362459,0.7262796504369539,0.7230361596009975,0.7274283935242839,0.724682564516252,0.0020255072288233845,17,0.7503280839895013,0.7621000820344545,0.7635767022149302,0.7611156685808039,0.7666940114848236,0.7607629096609027,0.005547854594120426,17,0.7358429858429858,0.7429622520793346,0.7444613292809725,0.7415874030852849,0.7465452512181484,0.7422798443013453,0.0036147164455421618,17,0.7763973975854965,0.7860801748040942,0.7838738661340636,0.7857167294786518,0.7904607994671943,0.7845057934938999,0.004594617612088083,17
0.06039280891418457,0.0030627299683941593,0.025852155685424805,0.004801761124777426,7,{'pca__n_components': 7},0.7230876338003654,0.7295909486510008,0.7297650130548303,0.7260226283724979,0.7326370757180156,0.728220659919342,0.003315018737231969,16,0.7324505424377792,0.7352015113350125,0.7353589420654912,0.7311372549019608,0.7365784942870559,0.7341453490054599,0.0020213600560234175,11,0.7531167979002624,0.7662018047579984,0.7663658736669401,0.7647251845775226,0.7721082854799015,0.7645035892765251,0.006227223548932552,16,0.7426399223552248,0.7503816180605768,0.7505422993492408,0.7475541299117883,0.7539250240307593,0.7490085987415179,0.0037705218662491165,16,0.7896201553640364,0.7978553046032809,0.7986974236315489,0.7960192533876277,0.8024636490050565,0.79693115719831,0.004215792393173725,15
0.06577944755554199,0.004070299785569716,0.02432074546813965,0.006107910903104992,8,{'pca__n_components': 8},0.7242189539639718,0.7254134029590948,0.7293298520452568,0.7296779808529156,0.7333333333333333,0.7283947046309145,0.0032630171712611554,15,0.7317498020585906,0.7301910429063576,0.7332395686826066,0.7313109425785482,0.7344886275723348,0.7321959967596876,0.0015064825900239507,16,0.7580380577427821,0.765053322395406,0.769811320754717,0.7752255947497949,0.7788351107465136,0.7693926812778428,0.007363628507566598,15,0.7446619933929579,0.7472157679673103,0.7510805186489515,0.7526282255495381,0.7560121038381908,0.7503197218793899,0.003998890716162275,15,0.7888570180175578,0.795889701292708,0.7972811394502095,0.7971523780488269,0.8026225479947174,0.7963605569608039,0.004409348845284084,16
0.07622699737548828,0.007625490620903698,0.016993045806884766,0.0058591616592181,9,{'pca__n_components': 9},0.7249151509877295,0.7266318537859008,0.7317667536988686,0.7308964316797215,0.7348999129677981,0.7298220206240038,0.0036048819838271815,14,0.7310659738623839,0.7304212168486739,0.7348402182385035,0.7318918918918919,0.7369075369075369,0.733025367549798,0.0024605086266042864,15,0.7616469816272966,0.7681706316652994,0.7734208367514356,0.7775225594749795,0.7780147662018048,0.7717551551441633,0.0061683735124014915,14,0.7460432232666506,0.7488204718112755,0.7536370903277378,0.7540175019888624,0.756903431763767,0.7518843438316586,0.003906910003715066,14,0.7897392568456747,0.7959833680655606,0.7982665260651365,0.7980948847450127,0.8026471811395263,0.7969462433721821,0.004205496367117318,14
0.07908592224121094,0.007999757186089388,0.015777015686035158,0.0022601986665567834,10,{'pca__n_components': 10},0.7260464711513358,0.7291557876414273,0.7327241079199304,0.7317667536988686,0.7372497824194952,0.7313885805662115,0.0037364109153357754,13,0.7322722975102427,0.7319956447347955,0.7348555452003728,0.7320190974896041,0.7378595731518713,0.7338004316173773,0.0022958874312898232,14,0.7623031496062992,0.7721082854799015,0.7762100082034454,0.7798195242001641,0.7827727645611157,0.7746427464101852,0.007127996554986529,13,0.7469860151101109,0.7515170871925902,0.7549668874172185,0.7551636479186526,0.7596528938778759,0.7536573063032896,0.004219426552190587,13,0.7926772656951244,0.7990345023686594,0.8014539333582199,0.8014705987450782,0.8052082679173816,0.7999689136168927,0.00414614107666996,13
