mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.13657240867614745,0.00806243690548372,0.04854516983032227,0.008996991609254898,1,{'pca__n_components': 1},0.854307503548488,0.8543280565847087,0.8543280565847087,0.85430399846028,0.85430399846028,0.854314322727693,1.1286450791218083e-05,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6393941225609405,0.6325410618744786,0.6438934228658425,0.6367101737393638,0.6390118283051978,0.6383101218691646,0.0037062807956760513,22
0.15988054275512695,0.011455964715124665,0.04195389747619629,0.005463228120237332,2,{'pca__n_components': 2},0.854307503548488,0.8543280565847087,0.8543280565847087,0.85430399846028,0.85430399846028,0.854314322727693,1.1286450791218083e-05,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.6962292057939365,0.6875056800185269,0.6940972128965005,0.6906713674344064,0.6913665243794239,0.6919739981045588,0.002988195811521418,21
0.18633217811584474,0.007542254578162744,0.04273486137390137,0.0058779008678049955,3,{'pca__n_components': 3},0.852310727259605,0.8522109416349901,0.8526680459991339,0.8530529759899919,0.8524755810037049,0.8525436543774851,0.000298150490854264,22,0.44589308996088656,0.4440203562340967,0.4549019607843137,0.4638888888888889,0.44808743169398907,0.45135834551243503,0.0072661641683177585,20,0.056472919418758254,0.05763831544178365,0.057473162675474816,0.05515191545574637,0.05416116248348745,0.0561794950950501,0.0013429383375597116,20,0.10024915726220138,0.10203186668615699,0.10205278592375366,0.09858323494687131,0.0966411314083677,0.09991163524547021,0.0020810896858515526,20,0.7489872363400002,0.7490197301304924,0.7475098480202492,0.7531460987230048,0.7537505691737716,0.7504826964775037,0.002489465926077445,20
0.19846744537353517,0.0051289776099409734,0.047321653366088866,0.0022026689028379186,4,{'pca__n_components': 4},0.8530324536290808,0.8521868835105615,0.8533176153587066,0.8530289178655632,0.852595871625848,0.852832348397952,0.00039666405607790113,21,0.46780072904009723,0.4497175141242938,0.47494033412887826,0.46716232961586124,0.4565483476132191,0.46323385090446995,0.00895230009089672,19,0.06357331571994716,0.0657308009909166,0.0657308009909166,0.06225231175693527,0.06159180977542933,0.06377580784682899,0.001719062963367379,19,0.11193487425497892,0.11469740634005764,0.11547947192804295,0.10986449074748653,0.10854066637567292,0.11210338192924778,0.0026780932395860393,19,0.7586552966619419,0.7564475538115555,0.7566548958521615,0.7603543404336212,0.7602321052510186,0.7584688384020598,0.001677794596753669,19
0.2231393814086914,0.010231494718669772,0.046272802352905276,0.007340838868402749,5,{'pca__n_components': 5},0.8539466403637501,0.8536544291007073,0.8520906510128471,0.8530770341144205,0.8537747197228505,0.8533086948629152,0.0006754233218325788,19,0.4939564867042707,0.48919753086419754,0.46335697399527187,0.4792514239218877,0.49054982817869414,0.4832624487328644,0.011090624795657431,17,0.101221928665786,0.10470685383980181,0.09710982658959537,0.09725891677675033,0.09428665785997357,0.09891683674638144,0.0036411615605894533,17,0.1680142524325065,0.17249353829410966,0.16056799563080285,0.16170212765957448,0.15817174515235458,0.1641899318338696,0.005274494680819947,17,0.7915777892440123,0.7887485998046546,0.787122909380541,0.7900407191752412,0.7917155525245088,0.7898411140257917,0.0017407829578434274,17
0.25333714485168457,0.0024789004245993327,0.044253301620483396,0.005882517463031272,6,{'pca__n_components': 6},0.8539947554550484,0.8536303709762787,0.8520906510128471,0.852980801616706,0.853798777847279,0.8532990713816317,0.0006935441924186338,20,0.49479583666933546,0.4887509697439876,0.46352941176470586,0.4774034511092851,0.4910333048676345,0.48310259483098966,0.011376483991462986,18,0.10204755614266843,0.10404624277456648,0.09760528488852188,0.09593791281373844,0.09494715984147953,0.09891683129219495,0.003534535356783394,18,0.16919917864476386,0.1715686274509804,0.1612551159618008,0.15976900866217517,0.15912550159125502,0.16418348646219505,0.005164177659291459,18,0.7914834783178986,0.7886884330580763,0.7871415449338792,0.7900988502317802,0.7917898752728221,0.7898404363628913,0.0017422860394894811,18
0.30292272567749023,0.006646570879242718,0.04617891311645508,0.004911650755598003,7,{'pca__n_components': 7},0.8552938629201049,0.8542318240869942,0.8536063128518501,0.8551700909397103,0.8550257421931386,0.8546655665983595,0.000646402135464998,16,0.5156369183829138,0.49852724594992637,0.4890829694323144,0.5137195121951219,0.5112612612612613,0.5056455814443075,0.010213146902562717,16,0.11162483487450463,0.11180842279108175,0.11098265895953757,0.11129458388375166,0.11245046235138706,0.11163219257205252,0.0004973027644780266,16,0.18352110764218812,0.18265209766626198,0.1809126396554045,0.18295331161780673,0.18435300487276665,0.18287843229088557,0.0011409268923136663,16,0.7964492819814666,0.7922685009780874,0.7905772210334518,0.795391678047042,0.7955857249172,0.7940544813914496,0.0022427187577153686,15
0.3102025032043457,0.014879344740113086,0.05054078102111816,0.010228651464512165,8,{'pca__n_components': 8},0.8553660355570525,0.8543280565847087,0.8536544291007073,0.8551700909397103,0.8549776259442814,0.8546992476252919,0.0006282073859931657,15,0.516793893129771,0.5,0.4898403483309144,0.5136986301369864,0.5105263157894737,0.5061718374774291,0.009932283433148755,15,0.1117899603698811,0.11213872832369942,0.11147811725846409,0.11145970937912814,0.11212021136063408,0.11179734533836136,0.00029554828936680636,15,0.1838175400488732,0.18319169027384324,0.1816224942822548,0.18317503392130258,0.18386135932845923,0.1831336235709466,0.000810671248754526,15,0.7964423674588784,0.7921923682083971,0.7905706355721274,0.7954090741179574,0.7955972571962351,0.794042340510719,0.002259247162394686,16
0.3693267822265625,0.03772864448812622,0.0474433422088623,0.004214441928265933,9,{'pca__n_components': 9},0.8554863232852984,0.8544242890824232,0.8550498003175673,0.8550738584419959,0.8554106721839966,0.8550889886622561,0.0003754850921626966,14,0.5180811808118081,0.5014409221902018,0.5103591160220995,0.5117474302496329,0.5168128654970761,0.5116883029541637,0.005897610957295122,14,0.11591809775429326,0.11494632535094963,0.12204789430222956,0.11509247027741083,0.1167437252311757,0.1169497025832118,0.0026291073073923155,13,0.18944811766293349,0.18702136235388955,0.19698787151805944,0.1879212725802103,0.19046336206896552,0.19036839723681165,0.0035175114545936575,13,0.7988303608419175,0.794752382584794,0.7927580458489956,0.7979644829986307,0.7978515666415064,0.7964313677831687,0.0022993416486232904,13
0.3791528224945068,0.009964809855157478,0.04922471046447754,0.003252156164965928,10,{'pca__n_components': 10},0.8556306685591936,0.8546408122022807,0.8551941490641389,0.8550979165664245,0.8556031371794255,0.8552333367142927,0.0003648519054885136,13,0.5203552923760177,0.504720406681191,0.5125173852573018,0.5122131754256106,0.5199704142011834,0.5139553347882609,0.0057883910149549396,13,0.11608322324966974,0.1147811725846408,0.12171758876961189,0.1142668428005284,0.11608322324966974,0.11658641013082412,0.0026636314871171215,14,0.18982044012420682,0.18702906350914963,0.19671693580675298,0.1868502767652221,0.18979481641468682,0.19004230652400364,0.003575747182428223,14,0.7987486188159756,0.7947227991670787,0.7926089149147932,0.7979163450338844,0.7975977960512732,0.796318894796601,0.002297932395529664,14
