mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_store_probs,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
84.2551208972931,1.9810007539441958,11.673581981658936,0.8636456688767208,True,50,2,sqrt,10,"{'store_probs': True, 'n_estimators': 50, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.7698027314112291,0.7741089338065114,0.7647876447876448,0.7755070563738722,0.7693025425705622,0.770701781789964,0.0038063769426958495,10,0.7778504888752021,0.7747837594215684,0.7756026153996292,0.7745502176676812,0.7765150070554137,0.775860417683899,0.0012108798211111884
245.36576981544493,2.9832577659632107,17.394580268859862,0.6190620567553486,True,50,2,sqrt,15,"{'store_probs': True, 'n_estimators': 50, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 15}",0.7699809523809524,0.7773878547451938,0.7707656261809387,0.7761101174274827,0.7725456397398731,0.7733580380948882,0.0029188580447175425,4,0.7970913321698662,0.7943508424182358,0.7931344597309657,0.7934273213417599,0.7952284752284752,0.7946464861778605,0.0014266026276409276
22.78769931793213,0.33693909955168033,4.716732454299927,0.16574916194307812,True,50,2,sqrt,5,"{'store_probs': True, 'n_estimators': 50, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",0.7606869940228493,0.7651309144588611,0.7626040878122634,0.7677666922486569,0.7614292401310657,0.7635235857347393,0.002602516896885167,20,0.7638801110791918,0.7604422842315215,0.7662340144897062,0.764795898848464,0.7671018176952923,0.7644908252688352,0.002311394226522575
492.4153120994568,6.548580949125937,36.533749389648435,0.8722373759838054,True,100,2,sqrt,15,"{'store_probs': True, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 15}",0.7715504112092598,0.7781654648367837,0.7706844895137128,0.7777003484320557,0.7742794486215538,0.7744760325226732,0.0030653491668119755,1,0.7948127358947062,0.794094884296881,0.7944661724359349,0.794569751274525,0.7964312496394717,0.7948749587083037,0.000811749594694695
171.75375576019286,2.1480536009303686,25.08007392883301,0.8241690061617499,False,100,2,sqrt,10,"{'store_probs': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.7670272741124485,0.7772468012948975,0.7646695491043854,0.7731467240848969,0.7668344870988043,0.7697849671390865,0.004678847800442945,12,0.7769315737457124,0.7756995017247987,0.7753963765430895,0.7754217791411043,0.7762757558251493,0.7759449973959708,0.0005861304188229983
85.62784190177918,1.463265041735544,11.411176681518555,0.3793256172369926,False,50,2,sqrt,10,"{'store_probs': False, 'n_estimators': 50, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.7650597821948062,0.7760122230710466,0.7688176168188444,0.7700576413771616,0.7695902788596355,0.7699075084642988,0.0035236069226347853,11,0.776110153572051,0.7765264457316494,0.7761379283594826,0.7722814664902312,0.7774146071066766,0.7756941202520182,0.0017702596294647502
83.95164709091186,3.0502004359299293,11.826346349716186,0.3184097945270702,False,50,5,sqrt,10,"{'store_probs': False, 'n_estimators': 50, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",0.7696845926934422,0.7779408357148374,0.7657609929614774,0.7740701056176336,0.7675253708040594,0.7709963795582899,0.0044463743109845145,8,0.7783130217829383,0.7759233295561488,0.7754005564616713,0.7765918854415275,0.7773144605967865,0.7767086507678145,0.0010278605122999575
24.927658891677858,0.6869932939035558,6.138378572463989,0.6656459161622218,False,50,2,sqrt,5,"{'store_probs': False, 'n_estimators': 50, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 5}",0.7620998331057502,0.7681359044995408,0.7613671040585902,0.7665144596651446,0.7675316651220265,0.7651297932902106,0.002830600036825117,18,0.7622536732096719,0.7649062708154915,0.7668066417536695,0.7635216060531168,0.7709719615537736,0.7656920306771446,0.003042054950088473
242.16686429977418,8.666952494165244,20.376534080505373,0.8026422716159671,False,50,5,sqrt,15,"{'store_probs': False, 'n_estimators': 50, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 15}",0.7696164071401443,0.7789846699021648,0.7706732247156471,0.7747985120892746,0.7722196004404593,0.7732584828575381,0.003352266695017306,6,0.7953295377786356,0.7959026790175654,0.7973022876134574,0.7943083433629693,0.7930334602671409,0.7951752616079537,0.001443332053252463
22.684398937225343,1.0532462379446763,5.861824178695679,0.4281528508313147,False,50,5,sqrt,5,"{'store_probs': False, 'n_estimators': 50, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}",0.7687277051129607,0.7679118187385181,0.7627999388659636,0.7628065818068923,0.7622694592060019,0.7649031007460674,0.002808370767514728,19,0.7707859679449841,0.7650901887583094,0.7681195805411252,0.7609062191127735,0.7707941864478276,0.7671392285610039,0.0037594543803273184
