mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_store_probs,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
33.65579080581665,1.3088395176958323,11.753159523010254,1.0670579120850097,5,sqrt,2,50,True,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50, 'store_probs': True}",0.7292797302281468,0.7327045682069656,0.7351670355148067,0.7323837779833063,0.002414162471787357,19,0.7315646652791317,0.7326184893432042,0.7350492649770799,0.7330774731998053,0.0014591340809307699,0.7136126102972672,0.7140695915279879,0.7163801378828868,0.7146874465693807,0.0012113658608975746,20,0.7153975872356986,0.710334051269057,0.721546387289493,0.7157593419314162,0.004584558837641643,0.822716049382716,0.8356447329595751,0.8221331997996996,0.8268313273806635,0.0062365597799266025,13,0.821010321556173,0.836399801093983,0.821358170707668,0.8262560977859413,0.007174087043391217,0.7642903018625562,0.7700883752549286,0.7656220854318224,0.7666669208497691,0.002479673977734562,18,0.7645740428383281,0.7682294640206444,0.7682238252172109,0.7670091106920611,0.0017218545308744042,,,,,,1,,,,,
34.340776205062866,0.6386775172695675,10.887439092000326,0.7270845763956757,5,sqrt,2,50,False,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50, 'store_probs': False}",0.7272775172559144,0.7315980820907318,0.7283696912214143,0.7290817635226868,0.0018343219173389434,24,0.7316700476855389,0.7308269884342808,0.7291480056905,0.7305483472701066,0.0010483016836656208,0.7055061871937547,0.7165172855313701,0.704107505070994,0.7087103259320395,0.005549807297514425,24,0.7081575539868844,0.7118324697015117,0.7094263838333125,0.7098054691739027,0.0015240364494747873,0.8390123456790124,0.8256122750073768,0.8343515272909364,0.8329920493257753,0.005554374177440483,2,0.8413060738388249,0.826553953257086,0.8356002365464222,0.8344867545474445,0.006073776806132901,0.7664892177208337,0.7672059226761722,0.7637163679699317,0.7658038361223124,0.0015047832543049304,21,0.7690109541197016,0.7649156715215941,0.7673613468196321,0.7670959908203093,0.0016823882319236645,,,,,,1,,,,,
54.63487426439921,0.790426921453011,20.461778561274212,0.15915068614951344,5,sqrt,2,100,True,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'store_probs': True}",0.7282786237420307,0.734917540439433,0.7350089577405416,0.7327350406406685,0.0031513836074105336,17,0.7330400189688332,0.7356218879258107,0.7346014015490806,0.7344211028145748,0.0010617258130042665,0.7079357106981417,0.7198630136986301,0.7123029472241261,0.7133672238736327,0.004927112258133838,21,0.710244680404583,0.7161738831910055,0.7168137837379053,0.714410782444498,0.002957439526878856,0.8352592592592593,0.8269892790400315,0.8326489734601903,0.831632503919827,0.003451864322504516,5,0.8397677649861056,0.8298856290402785,0.8323970037453183,0.8340167992572342,0.00419380144485239,0.7663449775723801,0.7697166659037854,0.7677887057302489,0.7679501164021381,0.0013812097607492522,17,0.7695945792309966,0.7688480409094051,0.7702936884348778,0.7695787695250931,0.0005902889981903845,,,,,,1,,,,,
54.03519113858541,0.3109374188858524,20.663513978322346,0.6288391222935669,5,sqrt,2,100,False,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'store_probs': False}",0.726539859845092,0.7316507719057906,0.7311623985667615,0.7297843434392147,0.0023028435283314855,22,0.7319861949047607,0.7316173564823353,0.729358764950735,0.7309874387792771,0.0011614485998951108,0.7093763258379295,0.7185938307771842,0.7063646352801961,0.71144493063177,0.005202412899845165,22,0.7129625677579069,0.714273375080976,0.7090863558579239,0.7121074328989355,0.0022022312662916643,0.825679012345679,0.8203009737385659,0.8369554331497245,0.8276451397446566,0.006939836562976584,10,0.8289003572846367,0.8224266534062655,0.8372264931992903,0.8295178346300641,0.00605776488918078,0.7631218621633957,0.7660864373306389,0.7661349468280161,0.7651144154406836,0.0014090871075408604,22,0.7665725889722586,0.764544088755345,0.7678470543038576,0.766321244010487,0.0013600921711465627,,,,,,1,,,,,
34.2387318611145,1.4606140038981652,10.652695258458456,0.5462838924688628,5,sqrt,5,50,True,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50, 'store_probs': True}",0.7253806839137995,0.728858211707677,0.7339024133206871,0.7293804363140545,0.0034985241579541014,23,0.7305898780198646,0.7327502173512133,0.7351282996996681,0.7328227983569153,0.0018535135711613652,0.7035379898914574,0.7182474137181605,0.7061231308996743,0.7093028448364308,0.006412213495515009,23,0.7074485871927771,0.7171620325982742,0.7115114453350962,0.7120406883753825,0.0039831167911709,0.8386172839506173,0.8126290941280614,0.8465698547821733,0.8326054109536173,0.014493694517363301,3,0.8398670107185391,0.818299353555445,0.8486102897693673,0.8355922180144505,0.012738226015640546,0.7651617554293954,0.762528841716659,0.7699945345235927,0.7658950438898824,0.003091647483849323,19,0.7679916507850078,0.7643998513563731,0.7740369488020856,0.7688094836478222,0.003976602380438527,,,,,,1,,,,,
33.898241678873696,0.9445028295676396,10.18892232577006,0.6780248108347983,5,sqrt,5,50,False,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50, 'store_probs': False}",0.7314400126455556,0.7285420728173244,0.7335862577721572,0.7311894477450124,0.002066887763712813,20,0.7354901599178018,0.7295887451589957,0.733442225617788,0.7328403768981953,0.002446540475831132,0.7183428869202709,0.7145546333532985,0.725294816710851,0.7193974456614735,0.004447617732558055,17,0.7211336599020294,0.7117783704723393,0.7297651309846431,0.7208923871196706,0.007345045851836629,0.8168888888888889,0.8213829054785089,0.7945918878317476,0.8109545607330485,0.011714715664017598,24,0.8181818181818182,0.8227747389358528,0.7962251133451607,0.8123938901542772,0.011585788360184507,0.7644530708443089,0.7642536835361947,0.7583636016058115,0.7623567853287717,0.0028247803464629463,24,0.7665984749860517,0.7632622935695175,0.7615478883861236,0.7638028856472309,0.002097027435316983,,,,,,1,,,,,
50.07949368158976,7.221508130243256,20.800161759058636,0.8125436518491275,5,sqrt,5,100,True,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'store_probs': True}",0.7268033089203857,0.7337056746930818,0.731531246706713,0.7306800767733934,0.0028814384146998505,21,0.7312221724583081,0.734620755064942,0.7309658043100269,0.732269577277759,0.0016658249001761326,0.7132987910189983,0.7235288974381394,0.7135744234800838,0.7168007039790738,0.004758881782545182,18,0.7168133879543276,0.720351262349067,0.7179176755447942,0.7183607752827296,0.0014779246353263907,0.8158024691358025,0.8139077407298121,0.8181271907861792,0.8159458002172646,0.0017255622356648493,23,0.8161969035331481,0.8158130283441074,0.8182534989158289,0.8167544769310281,0.0010714912422654206,0.7611149504722414,0.766061840399926,0.7622824616245976,0.7631530841655882,0.002111305709084249,23,0.7632836790570328,0.76511600792818,0.76480884385076,0.764402843611991,0.0008012425427298725,,,,,,1,,,,,
38.6635008653005,1.043324167825969,20.667739232381184,0.5399284947462293,5,sqrt,5,100,False,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'store_probs': False}",0.7327045682069656,0.7309658043100269,0.7337970281378439,0.732489133551612,0.0011658376556065056,18,0.7366493663882815,0.7317754300919461,0.7309658043100269,0.7331302002634182,0.0025102816757588825,0.7136332882273342,0.7216043436377967,0.7139016564044749,0.7163797627565351,0.0036959608050101856,19,0.7163613123135918,0.7182485602497033,0.7160493827160493,0.7168864184264482,0.0009715615535317012,0.8333827160493827,0.8104652306481754,0.8244366549824738,0.8227615338933439,0.009430705426993006,22,0.8343092497022628,0.8124316260566882,0.8231815493790656,0.8233074750460055,0.008931946299642559,0.768873297188938,0.7634577967200964,0.7651979921918572,0.7658430287002972,0.0022574270611947227,20,0.7708495713172252,0.7624425414751382,0.7658872077028885,0.7663931068317505,0.003450747565177995,,,,,,1,,,,,
80.72581481933594,3.3570427616272087,20.135969638824463,0.5294602346192422,10,sqrt,2,50,True,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50, 'store_probs': True}",0.737657410822488,0.740608040465778,0.7387501317314785,0.7390051943399149,0.0012180165635524327,11,0.7475564454514319,0.744737466080038,0.743558670109068,0.7452841938801793,0.0016772468289011967,0.7203665638917437,0.7292759706190975,0.7213172492735758,0.7236532612614722,0.003994754566015446,9,0.7288473196501256,0.7285407254704154,0.7294419332406119,0.7289433261203843,0.0003741272448550986,0.830716049382716,0.8203009737385659,0.8204306459689534,0.823815889696745,0.004879436886278103,21,0.8352520841603811,0.825957235206365,0.8270747092450227,0.8294280095372563,0.004143434241348077,0.7716159809183065,0.7721149840299958,0.7676881266985287,0.7704730305489437,0.0019797336720564157,15,0.7784303750635897,0.7741965555011769,0.7751963048498846,0.7759410784715505,0.0018068984167008719,,,,,,1,,,,,
76.18467283248901,2.0607219273005697,20.114960352579754,0.2288958034797828,10,sqrt,2,50,False,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50, 'store_probs': False}",0.738921966383898,0.7405553506507192,0.7390135946885867,0.7394969705744012,0.0007493220162320307,8,0.7490581447427352,0.7463972389809521,0.7428210126982454,0.7460921321406442,0.0025554219055572112,0.721622085048011,0.729694208358889,0.7197763801537387,0.7236975578535462,0.004306701723407833,8,0.730350717475181,0.7313123290089136,0.7272138788192646,0.7296256417677863,0.0017499761094271935,0.8313086419753086,0.8191206845677191,0.8252378567851778,0.8252223944427352,0.004975724788432283,19,0.8359964271536324,0.8241173545499751,0.8304257835600236,0.8301798550878771,0.0048527278988763625,0.7725916746982422,0.7718257645968489,0.7689077590631269,0.7711083994527393,0.0015871921043463764,10,0.7796108193155789,0.7749462265033199,0.7754003313086693,0.7766524590425227,0.0021000753038019266,,,,,,1,,,,,
