mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_store_probs,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
1.5359801451365154,0.11906430602691079,0.1703221003214518,0.026557667206127268,3,2,True,"{'max_depth': 3, 'min_samples_split': 2, 'store_probs': True}",0.7052531745613573,0.7167395542441646,0.712772684160607,0.7115884709887096,0.0047634721357271564,37,0.7093289775272018,0.7129119793450484,0.7148954107171084,0.7123787891964529,0.0023035499293254367,0.6680762667853698,0.6927347332850592,0.6826752618855761,0.6811620873186683,0.01012347981942732,52,0.6703530730431534,0.6846514610975267,0.6896579347913162,0.6815541563106655,0.008179828624364342,0.8893827160493827,0.8468574800826203,0.8484727090635954,0.8615709683985329,0.01967692763468866,1,0.8903334656609766,0.8493286921929388,0.8485117287601025,0.8627246288713394,0.019525244496467812,0.7630062701237078,0.7620817843866171,0.7565974547890154,0.7605618364331135,0.002828534347745854,17,0.7648400366604855,0.7581507867811883,0.7608820540015026,0.7612909591477255,0.0027461389320128575,,,,,,1,,,,,
1.2967743078867595,0.012908299904424369,0.15633344650268555,0.00747163812236967,3,2,False,"{'max_depth': 3, 'min_samples_split': 2, 'store_probs': False}",0.7130512671900522,0.7167395542441646,0.712772684160607,0.7141878351982746,0.0018079186362485054,32,0.7147561714571752,0.7129119793450484,0.7148954107171084,0.7141878538397773,0.0009039685420786066,0.6866076413815108,0.6927347332850592,0.6826752618855761,0.6873392121840487,0.004139213942171375,46,0.6877088449615524,0.6846514610975267,0.6896579347913162,0.6873394136167984,0.0020605103494873225,0.8501728395061728,0.8468574800826203,0.8484727090635954,0.8485010095507962,0.001353637744503434,6,0.8476578007145693,0.8493286921929388,0.8485117287601025,0.8484994072225369,0.0006821942286172145,0.7596858176683435,0.7620817843866171,0.7565974547890154,0.759455018947992,0.002244908137804222,26,0.7593518703740748,0.7581507867811883,0.7608820540015026,0.7594615703855885,0.0011177300588202164,,,,,,1,,,,,
1.5497361024220784,0.09540426403747443,0.16587225596110025,0.019508667651390615,3,5,True,"{'max_depth': 3, 'min_samples_split': 5, 'store_probs': True}",0.7052531745613573,0.7167395542441646,0.712772684160607,0.7115884709887096,0.0047634721357271564,37,0.7093289775272018,0.7129119793450484,0.7148954107171084,0.7123787891964529,0.0023035499293254367,0.6680762667853698,0.6927347332850592,0.6826752618855761,0.6811620873186683,0.01012347981942732,52,0.6703530730431534,0.6846514610975267,0.6896579347913162,0.6815541563106655,0.008179828624364342,0.8893827160493827,0.8468574800826203,0.8484727090635954,0.8615709683985329,0.01967692763468866,1,0.8903334656609766,0.8493286921929388,0.8485117287601025,0.8627246288713394,0.019525244496467812,0.7630062701237078,0.7620817843866171,0.7565974547890154,0.7605618364331135,0.002828534347745854,17,0.7648400366604855,0.7581507867811883,0.7608820540015026,0.7612909591477255,0.0027461389320128575,,,,,,1,,,,,
1.2374987602233887,0.08866694829313795,0.16031575202941895,0.014017180210354295,3,5,False,"{'max_depth': 3, 'min_samples_split': 5, 'store_probs': False}",0.7130512671900522,0.7167395542441646,0.712772684160607,0.7141878351982746,0.0018079186362485054,32,0.7147561714571752,0.7129119793450484,0.7148954107171084,0.7141878538397773,0.0009039685420786066,0.6866076413815108,0.6927347332850592,0.6826752618855761,0.6873392121840487,0.004139213942171375,46,0.6877088449615524,0.6846514610975267,0.6896579347913162,0.6873394136167984,0.0020605103494873225,0.8501728395061728,0.8468574800826203,0.8484727090635954,0.8485010095507962,0.001353637744503434,6,0.8476578007145693,0.8493286921929388,0.8485117287601025,0.8484994072225369,0.0006821942286172145,0.7596858176683435,0.7620817843866171,0.7565974547890154,0.759455018947992,0.002244908137804222,26,0.7593518703740748,0.7581507867811883,0.7608820540015026,0.7594615703855885,0.0011177300588202164,,,,,,1,,,,,
1.4983673890431721,0.11600767617137335,0.16874210039774576,0.019141599554068536,3,10,True,"{'max_depth': 3, 'min_samples_split': 10, 'store_probs': True}",0.7052531745613573,0.7167395542441646,0.712772684160607,0.7115884709887096,0.0047634721357271564,37,0.7093289775272018,0.7129119793450484,0.7148954107171084,0.7123787891964529,0.0023035499293254367,0.6680762667853698,0.6927347332850592,0.6826752618855761,0.6811620873186683,0.01012347981942732,52,0.6703530730431534,0.6846514610975267,0.6896579347913162,0.6815541563106655,0.008179828624364342,0.8893827160493827,0.8468574800826203,0.8484727090635954,0.8615709683985329,0.01967692763468866,1,0.8903334656609766,0.8493286921929388,0.8485117287601025,0.8627246288713394,0.019525244496467812,0.7630062701237078,0.7620817843866171,0.7565974547890154,0.7605618364331135,0.002828534347745854,17,0.7648400366604855,0.7581507867811883,0.7608820540015026,0.7612909591477255,0.0027461389320128575,,,,,,1,,,,,
1.2567397753397624,0.04341878140367104,0.15583300590515137,0.01094744315827906,3,10,False,"{'max_depth': 3, 'min_samples_split': 10, 'store_probs': False}",0.7130512671900522,0.7167395542441646,0.712772684160607,0.7141878351982746,0.0018079186362485054,32,0.7147561714571752,0.7129119793450484,0.7148954107171084,0.7141878538397773,0.0009039685420786066,0.6866076413815108,0.6927347332850592,0.6826752618855761,0.6873392121840487,0.004139213942171375,46,0.6877088449615524,0.6846514610975267,0.6896579347913162,0.6873394136167984,0.0020605103494873225,0.8501728395061728,0.8468574800826203,0.8484727090635954,0.8485010095507962,0.001353637744503434,6,0.8476578007145693,0.8493286921929388,0.8485117287601025,0.8484994072225369,0.0006821942286172145,0.7596858176683435,0.7620817843866171,0.7565974547890154,0.759455018947992,0.002244908137804222,26,0.7593518703740748,0.7581507867811883,0.7608820540015026,0.7594615703855885,0.0011177300588202164,,,,,,1,,,,,
1.3829655647277832,0.07254951972261259,0.13957508405049643,0.008959141876240747,3,20,True,"{'max_depth': 3, 'min_samples_split': 20, 'store_probs': True}",0.7052531745613573,0.7167395542441646,0.712772684160607,0.7115884709887096,0.0047634721357271564,37,0.7093289775272018,0.7129119793450484,0.7148954107171084,0.7123787891964529,0.0023035499293254367,0.6680762667853698,0.6927347332850592,0.6826752618855761,0.6811620873186683,0.01012347981942732,52,0.6703530730431534,0.6846514610975267,0.6896579347913162,0.6815541563106655,0.008179828624364342,0.8893827160493827,0.8468574800826203,0.8484727090635954,0.8615709683985329,0.01967692763468866,1,0.8903334656609766,0.8493286921929388,0.8485117287601025,0.8627246288713394,0.019525244496467812,0.7630062701237078,0.7620817843866171,0.7565974547890154,0.7605618364331135,0.002828534347745854,17,0.7648400366604855,0.7581507867811883,0.7608820540015026,0.7612909591477255,0.0027461389320128575,,,,,,1,,,,,
1.089115301767985,0.04279046174655084,0.14879544576009116,0.012780805235091376,3,20,False,"{'max_depth': 3, 'min_samples_split': 20, 'store_probs': False}",0.7130512671900522,0.7167395542441646,0.712772684160607,0.7141878351982746,0.0018079186362485054,32,0.7147561714571752,0.7129119793450484,0.7148954107171084,0.7141878538397773,0.0009039685420786066,0.6866076413815108,0.6927347332850592,0.6826752618855761,0.6873392121840487,0.004139213942171375,46,0.6877088449615524,0.6846514610975267,0.6896579347913162,0.6873394136167984,0.0020605103494873225,0.8501728395061728,0.8468574800826203,0.8484727090635954,0.8485010095507962,0.001353637744503434,6,0.8476578007145693,0.8493286921929388,0.8485117287601025,0.8484994072225369,0.0006821942286172145,0.7596858176683435,0.7620817843866171,0.7565974547890154,0.759455018947992,0.002244908137804222,26,0.7593518703740748,0.7581507867811883,0.7608820540015026,0.7594615703855885,0.0011177300588202164,,,,,,1,,,,,
1.3280230363210042,0.05554539153789091,0.14611204465230307,0.008177919683551882,3,50,True,"{'max_depth': 3, 'min_samples_split': 50, 'store_probs': True}",0.7052531745613573,0.7167395542441646,0.712772684160607,0.7115884709887096,0.0047634721357271564,37,0.7093289775272018,0.7129119793450484,0.7148954107171084,0.7123787891964529,0.0023035499293254367,0.6680762667853698,0.6927347332850592,0.6826752618855761,0.6811620873186683,0.01012347981942732,52,0.6703530730431534,0.6846514610975267,0.6896579347913162,0.6815541563106655,0.008179828624364342,0.8893827160493827,0.8468574800826203,0.8484727090635954,0.8615709683985329,0.01967692763468866,1,0.8903334656609766,0.8493286921929388,0.8485117287601025,0.8627246288713394,0.019525244496467812,0.7630062701237078,0.7620817843866171,0.7565974547890154,0.7605618364331135,0.002828534347745854,17,0.7648400366604855,0.7581507867811883,0.7608820540015026,0.7612909591477255,0.0027461389320128575,,,,,,1,,,,,
1.09832763671875,0.041058703397291486,0.16690786679585776,0.01643534606799521,3,50,False,"{'max_depth': 3, 'min_samples_split': 50, 'store_probs': False}",0.7130512671900522,0.7167395542441646,0.712772684160607,0.7141878351982746,0.0018079186362485054,32,0.7147561714571752,0.7129119793450484,0.7148954107171084,0.7141878538397773,0.0009039685420786066,0.6866076413815108,0.6927347332850592,0.6826752618855761,0.6873392121840487,0.004139213942171375,46,0.6877088449615524,0.6846514610975267,0.6896579347913162,0.6873394136167984,0.0020605103494873225,0.8501728395061728,0.8468574800826203,0.8484727090635954,0.8485010095507962,0.001353637744503434,6,0.8476578007145693,0.8493286921929388,0.8485117287601025,0.8484994072225369,0.0006821942286172145,0.7596858176683435,0.7620817843866171,0.7565974547890154,0.759455018947992,0.002244908137804222,26,0.7593518703740748,0.7581507867811883,0.7608820540015026,0.7594615703855885,0.0011177300588202164,,,,,,1,,,,,
