mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_store_probs,param_min_samples_split,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.6964901288350422,0.10290267276650503,0.16315937042236328,0.015435845197660388,False,5,5,"{'store_probs': False, 'min_samples_split': 5, 'max_depth': 5}",0.7601789090238391,0.7653149660174247,0.760026298487837,0.7618400578430337,0.0024579208841704874,2
11.07223375638326,0.46760246530918975,0.16208537419637045,0.028079107805219092,True,2,10,"{'store_probs': True, 'min_samples_split': 2, 'max_depth': 10}",0.7467977501536135,0.7428016508861374,0.7371473508306301,0.742248917290127,0.003959098179668236,6
2.432758887608846,0.12428273755500904,0.18409387270609537,0.04257967621226707,True,5,5,"{'store_probs': True, 'min_samples_split': 5, 'max_depth': 5}",0.7627881348149509,0.7653149660174247,0.7593492100919594,0.762484103641445,0.002444979503172897,1
6.826493342717488,0.6250278203714369,0.2325883706410726,0.0294222969749219,False,5,10,"{'store_probs': False, 'min_samples_split': 5, 'max_depth': 10}",0.7617527700515252,0.7599439775910364,0.7579943597342383,0.7598970357922666,0.001534723575029256,4
16.281896273295086,2.4888790689770612,0.11915175120035808,0.02092086062809623,False,5,15,"{'store_probs': False, 'min_samples_split': 5, 'max_depth': 15}",0.7255340406299062,0.7218146718146718,0.724200068182925,0.723849593542501,0.0015385166993178308,8
1.6196357409159343,0.06064987703513716,0.16007177035013834,0.016022976581573888,False,2,5,"{'store_probs': False, 'min_samples_split': 2, 'max_depth': 5}",0.7601789090238391,0.7653149660174247,0.760026298487837,0.7618400578430337,0.0024579208841704874,2
18.407702366511028,0.09974021564759086,0.10873961448669434,0.011534682466120964,True,5,15,"{'store_probs': True, 'min_samples_split': 5, 'max_depth': 15}",0.5953830251521764,0.5797134935304991,0.5776100925543831,0.5842355370790195,0.007929100061270636,9
18.76191012064616,0.8615164516410755,0.07776069641113281,0.019020448009273896,True,2,15,"{'store_probs': True, 'min_samples_split': 2, 'max_depth': 15}",0.5941200254144284,0.5757664233576643,0.5743393060466231,0.5814085849395719,0.009007208415642568,10
7.005159616470337,0.6447173992854224,0.18458453814188638,0.05088686096469368,False,2,10,"{'store_probs': False, 'min_samples_split': 2, 'max_depth': 10}",0.7614704004378363,0.759734802502568,0.7578756154691907,0.7596936061365316,0.0014678538978456681,5
10.410212675730387,2.15373605148817,0.12098169326782227,0.02867251084892342,True,5,10,"{'store_probs': True, 'min_samples_split': 5, 'max_depth': 10}",0.7462094374380048,0.7425742574257426,0.7368214197985753,0.7418683715541076,0.003865007541811569,7
